epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.5987,0.60202,3.41795,1.17802,0.02218,0.97727,0.35546,0.29906,0.61738,2.89629,1.0755,0.000274061,0.000274061,0.000274061
2,20.4922,0.64816,2.71062,1.18446,0.39872,0.39773,0.41103,0.30275,0.97391,2.5161,1.55459,0.000540803,0.000540803,0.000540803
3,28.9769,0.70598,2.32644,1.20516,0.62653,0.32955,0.38284,0.2602,1.27575,2.74967,1.69809,0.00079655,0.00079655,0.00079655
4,37.3685,0.72514,2.1536,1.20236,0.59668,0.39082,0.52753,0.37298,0.96152,2.50553,1.45836,0.00078352,0.00078352,0.00078352
5,45.7499,0.69629,1.95377,1.18542,0.63447,0.61173,0.69451,0.49592,0.8307,1.79294,1.2671,0.000767026,0.000767026,0.000767026
6,54.3639,0.65018,1.75795,1.15299,0.75641,0.47727,0.61829,0.45373,0.82204,1.90398,1.26567,0.000750533,0.000750533,0.000750533
7,62.5265,0.61605,1.62729,1.13193,0.50336,0.54516,0.50776,0.33221,1.09866,2.05977,1.74995,0.00073404,0.00073404,0.00073404
8,71.0401,0.608,1.52685,1.12221,0.66788,0.60497,0.62203,0.50984,0.68262,1.64059,1.1685,0.000717546,0.000717546,0.000717546
9,79.4935,0.59128,1.44104,1.11086,0.57465,0.3892,0.60716,0.45752,0.73466,2.10007,1.19751,0.000701053,0.000701053,0.000701053
10,87.9188,0.60645,1.41531,1.11505,0.57356,0.55964,0.62991,0.51578,0.65367,1.96851,1.10505,0.000684559,0.000684559,0.000684559
11,96.3715,0.56903,1.31974,1.10624,0.52495,0.50568,0.49686,0.30743,0.98442,2.05439,1.35664,0.000668066,0.000668066,0.000668066
12,104.751,0.55624,1.21685,1.08356,0.63808,0.6901,0.71593,0.55639,0.70361,1.55663,1.15292,0.000651573,0.000651573,0.000651573
